X	Y	Z	influencia	Az
4407143.979	7473064.339	-3318.052644	0.009586	354.2
4407213.499	7473064.339	-3310.973861	0.009762	354.2
4407283.02	7473064.339	-3304.291511	0.009947	354.2
4407352.54	7473064.339	-3298.090924	0.010142	354.2
4407422.061	7473064.339	-3292.384047	0.010348	354.2
4407491.582	7473064.339	-3287.134099	0.010565	354.2
4407561.102	7473064.339	-3282.288557	0.010794	354.2
4407630.623	7473064.339	-3277.777771	0.011037	354.2
4407700.143	7473064.339	-3273.491169	0.011296	354.2
4407769.664	7473064.339	-3269.279667	0.011571	354.2
4407839.184	7473064.339	-3265.00715	0.011865	354.2
4407908.705	7473064.339	-3260.623587	0.01218	354.2
4407978.225	7473064.339	-3256.210243	0.012517	354.2
4408047.746	7473064.339	-3251.960881	0.012882	354.2
4408117.267	7473064.339	-3248.101904	0.013276	354.2
4408186.787	7473064.339	-3244.803409	0.013703	354.2
4408256.308	7473064.339	-3242.142334	0.01417	354.2
4408325.828	7473064.339	-3240.121083	0.014681	354.2
4408395.349	7473064.339	-3238.689974	0.015245	354.2
4408464.869	7473064.339	-3237.745223	0.015871	354.2
4408534.39	7473064.339	-3237.131505	0.01657	354.2
4408603.91	7473064.339	-3236.679085	0.017358	354.2
4408673.431	7473064.339	-3236.256937	0.018254	354.2
4408742.951	7473064.339	-3235.800563	0.019285	354.2
4408812.472	7473064.339	-3235.300145	0.020488	354.2
4408881.993	7473064.339	-3234.768064	0.021914	354.2
4408951.513	7473064.339	-3234.211228	0.02364	354.2
4409021.034	7473064.339	-3233.621447	0.025783	354.2
4409090.554	7473064.339	-3232.985921	0.028538	354.2
4409160.075	7473064.339	-3232.315465	0.032249	354.2
4409229.595	7473064.339	-3231.685091	0.037607	354.2
4409299.116	7473064.339	-3231.278649	0.046262	354.2
4409368.636	7473064.339	-3231.426293	0.063644	354.2
4409438.157	7473064.339	-3232.624692	0.131507	354.2
4409507.677	7473064.339	nan	0.109734	354.2
4409577.198	7473064.339	nan	0.059942	354.2
4409646.719	7473064.339	nan	0.044629	354.2
4409716.239	7473064.339	nan	0.036654	354.2
4409785.76	7473064.339	nan	0.031612	354.2
4409855.28	7473064.339	nan	0.028076	354.2
4409924.801	7473064.339	nan	0.02543	354.2
4409994.321	7473064.339	nan	0.023359	354.2
4410063.842	7473064.339	nan	0.021684	354.2
4410133.362	7473064.339	nan	0.020295	354.2
4410202.883	7473064.339	nan	0.019121	354.2
4410272.404	7473064.339	nan	0.018112	354.2
4410341.924	7473064.339	nan	0.017233	354.2
4410411.445	7473064.339	nan	0.01646	354.2
